{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.909722, tr: 0:00:00.002001, image save only}
{X: 192, Y: 144, PayloadSize: 210, Method: None, Experiment: tcp_res144p_payload_210, transmission: tcp, seq_bytes: 0, t: 0:00:23.537449, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 210, Method: None, Experiment: udp_res144p_payload_210, transmission: udp, seq_bytes: 1, t: 0:00:02.873997, tr: 0:00:00.001999, MSE: 20843.551866319445, SSIM: 0.11865759303843716}
{X: 192, Y: 144, PayloadSize: 215, Method: None, Experiment: tcp_res144p_payload_215, transmission: tcp, seq_bytes: 0, t: 0:00:14.288788, tr: 0:00:00.001005, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 215, Method: None, Experiment: udp_res144p_payload_215, transmission: udp, seq_bytes: 1{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:08.032276, tr: 0:00:00.001000, image save only}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: tcp_resolution_144p, transmission: tcp, seq_bytes: 0, t: 0:00:08.680176, tr: 0:00:00.000998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_resolution_144p, transmission: udp, seq_bytes: 2, t: 0:00:03.679503, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 320, Y: 240, PayloadSize: 80, Method: None, Experiment: original_240p, transmission: tcp, seq_bytes: 0, t: 0:00:19.302661, tr: 0:00:00.003994, image save only}
{X: 320, Y: 240, PayloadSize: 80, Method: None, Experiment: tcp_resolution_240p, transmission: tcp, seq_bytes: 0, t: 0:00:19.626860, tr: 0:00:00.002997, MSE: 0.109296875, SSIM: 0.9998517898424901}
{X: 320, Y: 240, PayloadSize: 80, Method: None, Experiment: udp_resolution_240p, transmission: udp, seq_bytes: 2, t: 0:00:09.020745, tr: 0:00:00.007001, MSE: 0.109296875, SSIM: 0.9998517898424901}
{X: 720, Y: 480, PayloadSize: 80, Method: None, Experiment: original_480p, transmission: tcp, seq_bytes: 0, t: 0:01:10.921498, tr: 0:00:00.015998, image save only}
{X: 720, Y: 480, PayloadSize: 80, Method: None, Experiment: tcp_resolution_480p, transmission: tcp, seq_bytes: 0, t: 0:01:08.623767, tr: 0:00:00.017000, MSE: 0.11592013888888889, SSIM: 0.9997832480602147}
{X: 720, Y: 480, PayloadSize: 80, Method: None, Experiment: udp_resolution_480p, transmission: udp, seq_bytes: 2, t: 0:00:34.163393, tr: 0:00:00.024998, MSE: 4612.925642361111, SSIM: 0.47406374052103106}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.149356, tr: 0:00:00.001998, image save only}
{X: 192, Y: 144, PayloadSize: 40, Method: None, Experiment: udp_res144p_payload_40_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:06.278046, tr: 0:00:00.003001, MSE: 1638.618923611111, SSIM: 0.8880969564314636}
{X: 192, Y: 144, PayloadSize: 45, Method: None, Experiment: udp_res144p_payload_45_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:05.600173, tr: 0:00:00.003000, MSE: 15229.893880208334, SSIM: 0.5067800822282968}
{X: 192, Y: 144, PayloadSize: 50, Method: None, Experiment: udp_res144p_payload_50_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:05.054618, tr: 0:00:00.001999, MSE: 15762.039930555555, SSIM: 0.5044877938493748}
{X: 192, Y: 144, PayloadSize: 55, Method: None, Experiment: udp_res144p_payload_55_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:04.643910, tr: 0:00:00.002529, MSE: 64903.251302083336, SSIM: 0.35200902863286404}
